2024-02-08 16:20:47,107 INFO    StreamThr :23740 [internal.py:wandb_internal():86] W&B internal server running at pid: 23740, started at: 2024-02-08 16:20:47.099821
2024-02-08 16:20:47,108 DEBUG   HandlerThread:23740 [handler.py:handle_request():146] handle_request: status
2024-02-08 16:20:47,132 INFO    WriterThread:23740 [datastore.py:open_for_write():87] open: C:\Users\emilo\Skrivebord\GDS\DevOps\GDS\wandb\run-20240208_162047-5cznjhru\run-5cznjhru.wandb
2024-02-08 16:20:47,132 DEBUG   SenderThread:23740 [sender.py:send():382] send: header
2024-02-08 16:20:47,275 DEBUG   SenderThread:23740 [sender.py:send():382] send: run
2024-02-08 16:20:48,241 INFO    SenderThread:23740 [dir_watcher.py:__init__():211] watching files in: C:\Users\emilo\Skrivebord\GDS\DevOps\GDS\wandb\run-20240208_162047-5cznjhru\files
2024-02-08 16:20:48,241 INFO    SenderThread:23740 [sender.py:_start_run_threads():1136] run started: 5cznjhru with start time 1707405647.116214
2024-02-08 16:20:48,361 DEBUG   HandlerThread:23740 [handler.py:handle_request():146] handle_request: check_version
2024-02-08 16:20:48,361 DEBUG   SenderThread:23740 [sender.py:send_request():409] send_request: check_version
2024-02-08 16:20:48,841 DEBUG   HandlerThread:23740 [handler.py:handle_request():146] handle_request: run_start
2024-02-08 16:20:48,929 DEBUG   HandlerThread:23740 [system_info.py:__init__():27] System info init
2024-02-08 16:20:48,937 DEBUG   HandlerThread:23740 [system_info.py:__init__():42] System info init done
2024-02-08 16:20:48,937 INFO    HandlerThread:23740 [system_monitor.py:start():194] Starting system monitor
2024-02-08 16:20:48,937 INFO    SystemMonitor:23740 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-08 16:20:48,937 INFO    HandlerThread:23740 [system_monitor.py:probe():214] Collecting system info
2024-02-08 16:20:48,945 INFO    SystemMonitor:23740 [interfaces.py:start():190] Started cpu monitoring
2024-02-08 16:20:48,953 INFO    SystemMonitor:23740 [interfaces.py:start():190] Started disk monitoring
2024-02-08 16:20:48,953 INFO    SystemMonitor:23740 [interfaces.py:start():190] Started gpu monitoring
2024-02-08 16:20:48,969 INFO    SystemMonitor:23740 [interfaces.py:start():190] Started memory monitoring
2024-02-08 16:20:49,031 INFO    SystemMonitor:23740 [interfaces.py:start():190] Started network monitoring
2024-02-08 16:20:49,037 DEBUG   HandlerThread:23740 [system_info.py:probe():151] Probing system
2024-02-08 16:20:49,082 DEBUG   HandlerThread:23740 [system_info.py:_probe_git():136] Probing git
2024-02-08 16:20:49,194 DEBUG   HandlerThread:23740 [system_info.py:_probe_git():144] Probing git done
2024-02-08 16:20:49,194 DEBUG   HandlerThread:23740 [system_info.py:probe():199] Probing system done
